,Ponderation,Plane,3D,Injection ,Saturation,b (DWI),Observation,
WATER Ax LAVA HR-FLEX IV-,T1,Ax,3D,,1,,,
WATER Ax LAVA HR-FLEX TARDIF,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex,T1,Ax,3D,,1,,,
WATER Ax LAVA-FLEX,T1,Ax,3D,,1,,,
WATER AX LAVA-Flex,T1,Ax,3D,,1,,,
WATER AX LAVA-Flex gado,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex GADO,T1,Ax,3D,1,1,,,
WATER Ax LAVA-FLEX gado,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex gado,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex HR,T1,Ax,3D,,1,,,
WATER Ax LAVA-FLEX HR 2014,T1,Ax,3D,,1,,,
WATER Ax LAVA-Flex HR GADO,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex HR gado,T1,Ax,3D,1,1,,,
WATER Ax LAVA-FLEX IV,T1,Ax,3D,,1,,,
WATER Ax LAVA-FLEX IV-,T1,Ax,3D,,1,,,
WATER Ax LAVA-Flex NPW GADO,T1,Ax,3D,1,1,,,
WATER Ax LAVA-Flex PELVIS,T1,Ax,3D,,1,,,
WATER Ax LAVA-Flex rapide,T1,Ax,3D,,1,,,
WATER Ax LAVA-Flex rapide GADO,T1,Ax,3D,1,1,,,
WATER Ax LAVA-FLEX TARDIVE,T1,Ax,3D,1,1,,,
WATER Cor LAVA-Flex Gado,T1,Cor,3D,1,1,,,
WATER GADO Ax LAVA-FLEX,T1,Ax,3D,1,1,,,
WATER Sag LAVA-Flex gado,T1,Sag,3D,1,1,,,
WATER SAG LAVA-Flex TARDIF,T1,Sag,3D,1,1,,,
WATER WATER 3D T1 gd ch gado,T1,3D,3D,1,1,,,
WATER AX 3D T1 FLEX,T1,Ax,3D,,1,,,
WATER AX 3D T1 FLEX GADO,T1,Ax,3D,1,1,,,
WATER Ax IPOP FLEX,T1,Ax,,,1,,,
WATER Ax LAVA TARDIF,T1,Ax,3D,1,1,,,
WATER Ax LAVA-ART-FLEX,T1,Ax,3D,1,1,,,
WATER Ax LAVA-FLEX,T1,Ax,3D,,1,,,
WATER Ax LAVA-Flex DYN,T1,Ax,3D,1,1,,perf,
WATER Ax LAVA-Flex TARDIF,T1,Ax,3D,1,1,,,
WATER Ax LAVA-VEINEUX-FLEX,T1,Ax,3D,1,1,,,
WATER corLAVA-Flex Tardif,T1,Cor,3D,1,1,,,
WATER Cor LAVA-Flex TARDIF,T1,Cor,3D,1,1,,,
WATER GADO Ax LAVA-FLEX,T1,Ax,3D,,1,,,
WATER Ph1/Ax LAVA-Flex DYN,T1,Ax,3D,1,1,,,
WATER Ph2/Ax LAVA-Flex DYN,T1,Ax,3D,1,1,,,
WATER Ph3/Ax LAVA-Flex DYN,T1,Ax,3D,1,1,,,
