,Ponderation,Plane,3D,Injection ,Saturation,b (DWI),Observation,
Ax T1 FSPGR GADO,T1,Ax,,1,,,,
Ax T1 FSPGR Gado Apnee,T1,Ax,,1,,,,
Ax T1 FSPGR GADO Apnee,T1,Ax,,1,,,,
AX T1 FSPGR PERF,T1,Ax,,1,,,perfusion,
Ax T1 FSPGR Perf 54c 16s,T1,Ax,,1,,,perfusion,
AX T1 FSPGR PERF 54sec 16s,T1,Ax,,1,,,perfusion,
Ax T1 GADO FS,T1,Ax,,1,1,,,
AX T2,T2,Ax,,,,,,
Ax T2,T2,Ax,,,,,,
Ax T2 ABDO PELVIS,T2,Ax,,,,,,
AX T2 3mm,T2,Ax,,,,,,
Ax T2 4mm NEW,T2,Ax,,,,,,
AX T2 4mm NEW,T2,Ax,,,,,,
Ax T2 ABDO PELV,T2,Ax,,,,,,
Ax T2 ABDOPELV NEW,T2,Ax,,,,,,
AX T2 ABDOPELV NEW,T2,Ax,,,,,,
Ax T2 COUPES FINES,T2,Ax,,,,,,
AX T2 CPES FINES,T2,Ax,,,,,,
AX T2 CPES FINES PERPEN CORPS,T2,Ax,,,,,,
Ax T2 fat sat APNEE,T2,Ax,,,1,,,
AX T2 fin 3mm,T2,Ax,,,,,,
AX T2 fin 3mm arc,T2,Ax,,,,,,
Ax T2 fines obl,T2,Ax,,,,,,
Ax T2 fines obliques sur col,T2,Ax,,,,,,
Ax T2 FRFSE,T2,Ax,,,,,,
Ax T2 GATING ABDO,T2,Ax,,,,,,
Ax T2 new 3mm,T2,Ax,,,,,,
Ax T2 new 3mm,T2,Ax,,,,,,
AX T2 new 3mm,T2,Ax,,,,,,
AX T2 new 4mm,T2,Ax,,,,,,
AX T2 PELVIS RESPI LIBRE,T2,Ax,,,,,,
Ax T2 PROP 3mm PERPEN CORPS,T2,Ax,,,,,,
Ax T2 PROP 3mm US,T2,Ax,,,,,,
Ax T2 PROPELLER,T2,Ax,,,,,,
AX T2 PROPELLER,T2,Ax,,,,,,
AX T2 PROPELLER LARGE,T2,Ax,,,,,,
Ax T2 PROPELLER 3mm,T2,Ax,,,,,,
Ax T2 PROPELLER 4mm,T2,Ax,,,,,,
Ax T2 PROPELLER 5mm,T2,Ax,,,,,,
Ax T2 PROPELLER abdo trigger,T2,Ax,,,,,,
Ax T2 PROPELLER C,T2,Ax,,,,,,
Ax T2 PROPELLER large,T2,Ax,,,,,,
Ax T2 PROPELLER pelvis,T2,Ax,,,,,,
AX T2 PROPELLER TEST,T2,Ax,,,,,,
Ax T2 PROPELLER Uretre,T2,Ax,,,,,,
Ax T2 PROPELLER US,T2,Ax,,,,,,
Ax T2 REINS,T2,Ax,,,,,,
AX T2 SSFSE,T2,Ax,,,,,,
Ax T2 SSFSE,T2,Ax,,,,,,
Ax T2 SSFSE Expi,T2,Ax,,,,,,
Ax T2 strict,T2,Ax,,,,,,
Ax T2 TEcourt fs 2APNEES,T2,Ax,,,1,,,
AX TRUFFI GG (ApnÈe),T2,Ax,,,,,,
Axial perf fspgr,T1,Ax,,1,,,perf,
AxT2,T2,Ax,,,,,,
AxT2 Abdo Pelv,T2,Ax,,,,,,
AxT2 complement,T2,Ax,,,,,,
AXT2 PROPELLER,T2,Ax,,,,,,
Cal Body 24 AA1,,,,,,,loc,
Cal Body 24 AA2,,,,,,,loc,
Cal Body 36 a choisir,,,,,,,loc,
Cal Body 36 AA1,,,,,,,loc,
Cal Body 36 AA2,,,,,,,loc,
Cal Body 48 AA,,,,,,,loc,
CALIB,,,,,,,loc,
Calib∞,,,,,,,loc,
Calibration,,,,,,,loc,
Calibration full,,,,,,,loc,
Cor 2D FIESTA FatSat,mixte,Cor,,,1,,,
COR DYN 3S OK FREY PERROT,T1,Cor,,1,,,perf,
Cor Fiesta FS EXPI,mixte,Cor,,,1,,,
cor LAVA-XV TARDIF,T1,Cor,3D,1,,,,
Cor SSFSE APN…E,T2,Cor,,,,,,
COR SSFSE REINS,T2,Cor,,,,,,
Cor T2,T2,Cor,,,,,,
Cor T2 PROPELLER,T2,Cor,,,,,,
COR T2 PROPELLER,T2,Cor,,,,,,
Cor FIESTA,mixte,Cor,,,1,,,
CORO FIESTA FS APNEE,mixte,Cor,,,1,,,
CORO FS LAVA IV APNEE,T1,Cor,3D,1,1,,,
Cor perf fspgr,T1,Cor,,1,,,perf,
CORO T2,T2,Cor,,,,,,
Cor T2 4mm NEW,T2,Cor,,,,,,
CORO T2 4mm NEW,T2,Cor,,,,,,
CORO T2 new 3mm,T2,Cor,,,,,,
Cor T2 new 3mm,T2,Cor,,,,,,
CORO T2 new 3mm arc,T2,Cor,,,,,,
CORO T2 OBLIQUE,T2,Cor,,,,,,
CORO T2 PELVIS,T2,Cor,,,,,,
CORO T2 PROPELLER,T2,Cor,,,,,,
Cor T2 PROPELLER,T2,Cor,,,,,,
Cor T2 PROPELLER 4mm,T2,Cor,,,,,,
Cor T2 SSFSE reins,T2,Cor,,,,,,
Cornal Gado,T1,Cor,,1,,,,
courbe dynamique,,,,,,,screenshot,
dadc,DWI,,,,,ADC,,
dadc B0 B1200 SENSE,DWI,,,,,ADC,1200,
DIFF AXIAL b0 500 1200 5mm HAUT_ADC_DFC_MIX,DWI,Ax,,,,ADC,500,1200
DIFF AXIAL b0 500 1200 5mm HAUT_TRACEW_DFC_MIX,DWI,Ax,,,,,500,1200
DIFF AXIAL b0 500 1200 5mm_ADC_DFC_MIX,DWI,Ax,,,,ADC,500,1200
DIFF AXIAL b0 500 1200 5mm_DYNDIST_MIX,DWI,Ax,,,,,500,1200
DIFF AXIAL b0 500 1200 5mm_DYNDIST_MIX_ADC,DWI,Ax,,,,,500,1200
DIFF AXIAL b0 500 1200 5mm_TRACEW_DFC_MIX,DWI,Ax,,,,,500,1200
diff B0 B1200,DWI,,,,,,1200,
DYN T1 EG VIBE,T1,,3D,1,,,perf,
DYN T1 EG VIBE_SUB,T2,,3D,1,,,soustraction,
eadc,DWI,,,,,ADC,,
eadc B0 B1200 SENSE,DWI,,,,,ADC,,
Enhancement Integral -,DWI,,,,,ADC,,
Exponential Apparent Diffusion Coefficient,DWI,,,,,ADC,,
FAT 3D T1 gADO,T1,,3D,1,,,water sat,
FAT 3D T1 gado,T1,,3D,1,,,water sat,
FAT 3D T1 gd ch,T1,,3D,,,,water sat,
FAT 3D T1 gd ch GA,T1,,3D,1,,,water sat,
FAT 3D T1 gd ch gado,T1,,3D,1,,,water sat,
FAT 3D T1 gd ch GADO,T1,,3D,1,,,water sat,
FAT 3D T1 gd ch,T1,,3D,,,,water sat,
FAT 3D T1 gd ch gado,T1,,3D,1,,,water sat,
FAT 3D T1 gd ch GADO,T1,,3D,1,,,water sat,
FAT 3D T1 pt chp,T1,,3D,,,,water sat,
FAT 3D T1 pt chp GADO,T1,,3D,1,,,water sat,
FAT Ax LAVA HR-FLEX IV-,T1,Ax,3D,,,,water sat,
FAT Ax LAVA HR-FLEX TARDIF,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-FLEX,T1,Ax,3D,,,,water sat,
FAT AX LAVA-Flex,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex GADO,T1,Ax,3D,1,,,water sat,
FAT AX LAVA-Flex gado,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-Flex gado,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-FLEX gado,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-Flex HR,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-FLEX HR 2014,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex HR GADO,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-FLEX IV,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-FLEX IV-,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex NPW GADO,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-Flex PELVIS,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex rapide,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex rapide GADO,T1,Ax,3D,1,,,water sat,
FAT Cor LAVA-Flex Gado,T1,Cor,3D,1,,,water sat,
FAT GADO Ax LAVA-FLEX,T1,,3D,1,,,water sat,
FAT Sag LAVA-Flex gado,T1,Sag,3D,1,,,water sat,
FAT SAG LAVA-Flex TARDIF,T1,Sag,3D,1,,,water sat,
FAT AX 3D T1 FLEX,T1,Ax,3D,,,,water sat,
FAT AX 3D T1 FLEX GADO,T1,Ax,3D,1,,,water sat,
FAT Ax IPOP FLEX,T1,Ax,,,,,water sat,
FAT Ax LAVA-FLEX,T1,Ax,3D,,,,water sat,
FAT Ax LAVA-Flex DYN,T1,Ax,3D,1,,,water sat,
FAT Ax LAVA-Flex TARDIF,T1,Ax,3D,1,,,water sat,
FAT corLAVA-Flex Tardif,T1,Cor,3D,1,,,water sat,
FAT Cor LAVA-Flex TARDIF,T1,Cor,3D,1,,,water sat,
FAT GADO Ax LAVA-FLEX,T1,Ax,3D,1,,,water sat,
FAT Ph1/Ax LAVA-Flex DYN,T1,Ax,3D,1,,,water sat,
FAT Ph2/Ax LAVA-Flex DYN,T1,Ax,3D,1,,,water sat,
FAT Ph3/Ax LAVA-Flex DYN,T1,Ax,3D,1,,,water sat,
FL B/Sag Cube T2 1mm,T2,Sag,3D,,,,,
FL B/Sag CUBE T2 pelvis,T2,Sag,3D,,,,,
FL C/Ax T1 FSPGR Perf 54c 16s,T1,Ax,,1,,,perf,
Fusion T2 DWI,,,,,,,screenshot,
Images traitÈes,,,,,,,screenshot,
IMPAX Volume Viewing,,,,,,,screenshot,
InPhase 3D T1 gADO,T1,,3D,1,,,,
InPhase 3D T1 gado,T1,,3D,1,,,,
InPhase 3D T1 gd ch,T1,,3D,,,,,
InPhase 3D T1 gd ch GA,T1,,3D,1,,,,
InPhase 3D T1 gd ch gado,T1,,3D,1,,,,
InPhase 3D T1 gd ch GADO,T1,,3D,1,,,,
InPhase 3D T1 gd ch,T1,,3D,,,,,
InPhase 3D T1 gd ch gado,T1,,3D,1,,,,
InPhase 3D T1 gd ch GADO,T1,,3D,1,,,,
InPhase 3D T1 pt chp,T1,,3D,,,,,
InPhase 3D T1 pt chp GADO,T1,,3D,1,,,,
InPhase Ax LAVA HR-FLEX IV-,T1,Ax,3D,,,,,
InPhase Ax LAVA HR-FLEX TARDIF,T1,Ax,3D,1,,,,
InPhase Ax LAVA-FLEX,T1,Ax,3D,,,,,
InPhase Ax LAVA-Flex,T1,Ax,3D,,,,,
InPhase AX LAVA-Flex,T1,Ax,3D,,,,,
InPhase Ax LAVA-Flex gado,T1,Ax,3D,1,,,,
InPhase Ax LAVA-Flex GADO,T1,Ax,3D,1,,,,
InPhase AX LAVA-Flex gado,T1,Ax,3D,1,,,,
InPhase Ax LAVA-Flex HR,T1,Ax,3D,,,,,
InPhase Ax LAVA-FLEX HR 2014,T1,Ax,3D,,,,,
InPhase Ax LAVA-Flex HR GADO,T1,Ax,3D,1,,,,
InPhase Ax LAVA-Flex HR gado,T1,Ax,3D,1,,,,
InPhase Ax LAVA-FLEX IV-,T1,Ax,3D,,,,,
InPhase Ax LAVA-Flex PELVIS,T1,Ax,3D,,,,,
